"r" "g" "b" "grey"
"1" 0 0 0 0
"131073" 0 0 0.00784313725490196 0.000894117647058824
"131074" 0.00392156862745098 0 0.00784313725490196 0.00206666666666667
"262146" 0.00392156862745098 0 0.0156862745098039 0.00296078431372549
"65794" 0.00392156862745098 0.00392156862745098 0.00392156862745098 0.00392156862745098
"196612" 0.0117647058823529 0 0.0117647058823529 0.00485882352941176
"6" 0.0196078431372549 0 0 0.00586274509803922
"328193" 0 0.00784313725490196 0.0196078431372549 0.00683921568627451
"458757" 0.0156862745098039 0 0.0274509803921569 0.00781960784313725
"262405" 0.0156862745098039 0.00392156862745098 0.0156862745098039 0.00878039215686274
"917508" 0.0117647058823529 0 0.0549019607843137 0.00977647058823529
"393986" 0.00392156862745098 0.0117647058823529 0.0235294117647059 0.0107607843137255
"1376259" 0.00784313725490196 0 0.0823529411764706 0.0117333333333333
"328198" 0.0196078431372549 0.00784313725490196 0.0196078431372549 0.0127019607843137
"458762" 0.0352941176470588 0 0.0274509803921569 0.0136823529411765
"786949" 0.0156862745098039 0.00784313725490196 0.0470588235294118 0.0146588235294118
"917513" 0.0313725490196078 0 0.0549019607843137 0.0156392156862745
"1245700" 0.0117647058823529 0.00784313725490196 0.0745098039215686 0.0166156862745098
"1376264" 0.0274509803921569 0 0.0823529411764706 0.0175960784313725
"1704451" 0.00784313725490196 0.00784313725490196 0.101960784313725 0.0185725490196078
"1835015" 0.0235294117647059 0 0.109803921568627 0.0195529411764706
"2163202" 0.00392156862745098 0.00784313725490196 0.129411764705882 0.0205294117647059
"263432" 0.0274509803921569 0.0196078431372549 0.0156862745098039 0.0215058823529412
"591619" 0.00784313725490196 0.0274509803921569 0.0352941176470588 0.0224823529411765
"1376269" 0.0470588235294118 0 0.0823529411764706 0.0234588235294118
"1050370" 0.00392156862745098 0.0274509803921569 0.0627450980392157 0.0244392156862745
"1835020" 0.0431372549019608 0 0.109803921568627 0.0254156862745098
"2163207" 0.0235294117647059 0.00784313725490196 0.129411764705882 0.0263921568627451
"263437" 0.0470588235294118 0.0196078431372549 0.0156862745098039 0.0273686274509804
"394001" 0.0627450980392157 0.0117647058823529 0.0235294117647059 0.0283490196078431
"2950145" 0 0.0156862745098039 0.176470588235294 0.0293254901960784
"1050375" 0.0235294117647059 0.0274509803921569 0.0627450980392157 0.0303019607843137
"1180939" 0.0392156862745098 0.0196078431372549 0.0705882352941176 0.0312823529411765
"1509126" 0.0196078431372549 0.0274509803921569 0.0901960784313725 0.0322588235294118
"65819" 0.101960784313725 0.00392156862745098 0.00392156862745098 0.0332352941176471
"2621963" 0.0392156862745098 0.00784313725490196 0.156862745098039 0.0342117647058824
"68107" 0.0392156862745098 0.0392156862745098 0.00392156862745098 0.0351921568627451
"396294" 0.0196078431372549 0.0470588235294118 0.0235294117647059 0.0361686274509804
"1180944" 0.0588235294117647 0.0196078431372549 0.0705882352941176 0.0371450980392157
"1509131" 0.0392156862745098 0.0274509803921569 0.0901960784313725 0.038121568627451
"1639695" 0.0549019607843137 0.0196078431372549 0.0980392156862745 0.0391019607843137
"1967882" 0.0352941176470588 0.0274509803921569 0.117647058823529 0.040078431372549
"2296069" 0.0156862745098039 0.0352941176470588 0.137254901960784 0.0410549019607843
"396299" 0.0392156862745098 0.0470588235294118 0.0235294117647059 0.0420313725490196
"526863" 0.0549019607843137 0.0392156862745098 0.0313725490196078 0.0430117647058823
"855050" 0.0352941176470588 0.0470588235294118 0.0509803921568627 0.0439882352941176
"3867657" 0.0313725490196078 0.0156862745098039 0.231372549019608 0.0449647058823529
"1313801" 0.0313725490196078 0.0470588235294118 0.0784313725490196 0.0459450980392157
"1641988" 0.0117647058823529 0.0549019607843137 0.0980392156862745 0.046921568627451
"198681" 0.0941176470588235 0.0313725490196078 0.0117647058823529 0.0478980392156863
"70405" 0.0156862745098039 0.0745098039215686 0.00392156862745098 0.0488745098039216
"657432" 0.0901960784313725 0.0313725490196078 0.0392156862745098 0.0498549019607843
"529156" 0.0117647058823529 0.0745098039215686 0.0313725490196078 0.0508313725490196
"6226183" 0.0235294117647059 0.00392156862745098 0.372549019607843 0.0518078431372549
"4326413" 0.0470588235294118 0.0156862745098039 0.258823529411765 0.0527843137254902
"1063" 0.149019607843137 0.0156862745098039 0 0.0537647058823529
"329250" 0.129411764705882 0.0235294117647059 0.0196078431372549 0.0547411764705882
"200974" 0.0509803921568627 0.0666666666666667 0.0117647058823529 0.0557176470588235
"3213581" 0.0470588235294118 0.0352941176470588 0.192156862745098 0.0566941176470588
"659725" 0.0470588235294118 0.0666666666666667 0.0392156862745098 0.0576745098039216
"5900289" 0 0.0313725490196078 0.352941176470588 0.0586509803921569
"1068" 0.168627450980392 0.0156862745098039 0 0.0596274509803922
"131632" 0.184313725490196 0.00784313725490196 0.00784313725490196 0.0606078431372549
"3356" 0.105882352941176 0.0509803921568627 0 0.0615843137254902
"4787457" 0 0.0509803921568627 0.286274509803922 0.0625607843137255
"203267" 0.00784313725490196 0.101960784313725 0.0117647058823529 0.0635372549019608
"333831" 0.0235294117647059 0.0941176470588235 0.0196078431372549 0.0645176470588235
"1118481" 0.0627450980392157 0.0666666666666667 0.0666666666666667 0.0654941176470588
"131637" 0.203921568627451 0.00784313725490196 0.00784313725490196 0.0664705882352941
"3361" 0.125490196078431 0.0509803921568627 0 0.0674470588235294
"133925" 0.141176470588235 0.0431372549019608 0.00784313725490196 0.0684274509803922
"5649" 0.0627450980392157 0.0862745098039216 0 0.0694039215686274
"1246762" 0.16078431372549 0.0235294117647059 0.0745098039215686 0.0703803921568627
"8258820" 0.0117647058823529 0.0196078431372549 0.494117647058824 0.071356862745098
"792587" 0.0392156862745098 0.0941176470588235 0.0470588235294118 0.0723372549019608
"2033700" 0.137254901960784 0.0313725490196078 0.12156862745098 0.0733137254901961
"133930" 0.16078431372549 0.0431372549019608 0.00784313725490196 0.0742901960784314
"264494" 0.176470588235294 0.0352941176470588 0.0156862745098039 0.0752705882352941
"136218" 0.0980392156862745 0.0784313725490196 0.00784313725490196 0.0762470588235294
"3605288" 0.152941176470588 0.0117647058823529 0.215686274509804 0.0772235294117647
"336129" 0 0.129411764705882 0.0196078431372549 0.0782
"466693" 0.0156862745098039 0.12156862745098 0.0274509803921569 0.0791803921568627
"1251343" 0.0549019607843137 0.0941176470588235 0.0745098039215686 0.080156862745098
"2492456" 0.152941176470588 0.0313725490196078 0.149019607843137 0.0811333333333333
"3277106" 0.192156862745098 0.00392156862745098 0.196078431372549 0.0821098039215686
"266787" 0.133333333333333 0.0705882352941176 0.0156862745098039 0.0830901960784314
"594974" 0.113725490196078 0.0784313725490196 0.0352941176470588 0.0840666666666667
"10747915" 0.0392156862745098 0 0.643137254901961 0.085043137254902
"2164274" 0.192156862745098 0.0235294117647059 0.129411764705882 0.0860196078431373
"66881" 0.250980392156863 0.0196078431372549 0.00392156862745098 0.087
"395068" 0.231372549019608 0.0274509803921569 0.0235294117647059 0.0879764705882353
"266792" 0.152941176470588 0.0705882352941176 0.0156862745098039 0.0889529411764706
"853819" 0.227450980392157 0.0274509803921569 0.0509803921568627 0.0899333333333333
"725543" 0.149019607843137 0.0705882352941176 0.0431372549019608 0.0909098039215686
"1966656" 0.247058823529412 0.00784313725490196 0.117647058823529 0.0918862745098039
"2294843" 0.227450980392157 0.0156862745098039 0.137254901960784 0.0928627450980392
"197450" 0.286274509803922 0.0117647058823529 0.0117647058823529 0.093843137254902
"525637" 0.266666666666667 0.0196078431372549 0.0313725490196078 0.0948196078431372
"397361" 0.188235294117647 0.0627450980392157 0.0235294117647059 0.0957960784313726
"2040579" 0.00784313725490196 0.137254901960784 0.12156862745098 0.0967725490196079
"399649" 0.125490196078431 0.0980392156862745 0.0235294117647059 0.0977529411764706
"271373" 0.0470588235294118 0.141176470588235 0.0156862745098039 0.0987294117647059
"197455" 0.305882352941176 0.0117647058823529 0.0117647058823529 0.0997058823529412
"69179" 0.227450980392157 0.0549019607843137 0.00392156862745098 0.100682352941176
"199743" 0.243137254901961 0.0470588235294118 0.0117647058823529 0.101662745098039
"527930" 0.223529411764706 0.0549019607843137 0.0313725490196078 0.102639215686275
"2171148" 0.0431372549019608 0.129411764705882 0.129411764705882 0.10361568627451
"986681" 0.219607843137255 0.0549019607843137 0.0588235294117647 0.104596078431373
"401942" 0.0823529411764706 0.133333333333333 0.0235294117647059 0.105572549019608
"328024" 0.341176470588235 0.00392156862745098 0.0196078431372549 0.106549019607843
"656211" 0.32156862745098 0.0117647058823529 0.0392156862745098 0.107525490196078
"330312" 0.27843137254902 0.0392156862745098 0.0196078431372549 0.108505882352941
"658499" 0.258823529411765 0.0470588235294118 0.0392156862745098 0.109482352941176
"4986137" 0.0941176470588235 0.0823529411764706 0.298039215686275 0.110458823529412
"15139078" 0.0196078431372549 0.00392156862745098 0.905882352941176 0.111435294117647
